symbol,date,price,action,trade_profit,total_profit
ACLBSL,,,STOCK_PROFIT,,0
ADBL,,,STOCK_PROFIT,,0
ADBLD83,2021-06-12,1090.0,Buy,,
ADBLD83,2021-06-14,1089.0,Sell,-1.0,-1.0
ADBLD83,2025-04-07,1111.7,Buy,,
ADBLD83,2025-04-16,1130.0,Sell,18.299999999999955,17.299999999999955
ADBLD83,,,STOCK_PROFIT,,17.299999999999955
AHL,,,STOCK_PROFIT,,0
AHPC,,,STOCK_PROFIT,,0
AKJCL,,,STOCK_PROFIT,,0
AKPL,,,STOCK_PROFIT,,0
ALBSL,,,STOCK_PROFIT,,0
ALICL,,,STOCK_PROFIT,,0
ANLB,,,STOCK_PROFIT,,0
API,,,STOCK_PROFIT,,0
AVYAN,,,STOCK_PROFIT,,0
BARUN,,,STOCK_PROFIT,,0
BBC,,,STOCK_PROFIT,,0
BEDC,,,STOCK_PROFIT,,0
BFC,,,STOCK_PROFIT,,0
BGWT,,,STOCK_PROFIT,,0
BHDC,,,STOCK_PROFIT,,0
BHL,,,STOCK_PROFIT,,0
BHPL,,,STOCK_PROFIT,,0
BNHC,,,STOCK_PROFIT,,0
BNL,,,STOCK_PROFIT,,0
BNT,,,STOCK_PROFIT,,0
BOKD86,,,STOCK_PROFIT,,0
BPCL,,,STOCK_PROFIT,,0
C30MF,,,STOCK_PROFIT,,0
CBBL,,,STOCK_PROFIT,,0
CBLD88,,,STOCK_PROFIT,,0
CFCL,,,STOCK_PROFIT,,0
CGH,,,STOCK_PROFIT,,0
CHCL,,,STOCK_PROFIT,,0
CHDC,,,STOCK_PROFIT,,0
CHL,,,STOCK_PROFIT,,0
CIT,,,STOCK_PROFIT,,0
CITY,,,STOCK_PROFIT,,0
CKHL,,,STOCK_PROFIT,,0
CLI,,,STOCK_PROFIT,,0
CMF2,,,STOCK_PROFIT,,0
CORBL,,,STOCK_PROFIT,,0
CREST,,,STOCK_PROFIT,,0
CYCL,,,STOCK_PROFIT,,0
CZBIL,,,STOCK_PROFIT,,0
DDBL,,,STOCK_PROFIT,,0
DHPL,,,STOCK_PROFIT,,0
DLBS,,,STOCK_PROFIT,,0
DOLTI,,,STOCK_PROFIT,,0
DORDI,,,STOCK_PROFIT,,0
EBL,,,STOCK_PROFIT,,0
EBLD85,,,STOCK_PROFIT,,0
EBLD86,2023-04-10,792.9,Buy,,
EBLD86,,,STOCK_PROFIT,,0
EBLD91,,,STOCK_PROFIT,,0
EDBL,,,STOCK_PROFIT,,0
EHPL,,,STOCK_PROFIT,,0
ENL,,,STOCK_PROFIT,,0
FMDBL,,,STOCK_PROFIT,,0
FOWAD,,,STOCK_PROFIT,,0
GBBD85,,,STOCK_PROFIT,,0
GBBL,,,STOCK_PROFIT,,0
GBBLPO,,,STOCK_PROFIT,,0
GBILD84/85,,,STOCK_PROFIT,,0
GBIME,,,STOCK_PROFIT,,0
