symbol,date,price,action,trade_profit,total_profit
ACLBSL,2021-04-11,1675.0,Buy,,
ACLBSL,2021-04-17,1605.0,Sell,-70.0,-70.0
ACLBSL,2021-04-21,1600.0,Buy,,
ACLBSL,2021-04-24,1562.0,Sell,-38.0,-108.0
ACLBSL,2021-05-09,1620.0,Buy,,
ACLBSL,2021-05-26,1633.0,Sell,13.0,-95.0
ACLBSL,2021-07-25,1731.0,Buy,,
ACLBSL,2021-08-16,1668.0,Sell,-63.0,-158.0
ACLBSL,2022-01-12,1528.0,Buy,,
ACLBSL,2022-02-08,1470.0,Sell,-58.0,-216.0
ACLBSL,2023-06-26,638.5,Buy,,
ACLBSL,2023-07-17,673.9,Sell,35.39999999999998,-180.60000000000002
ACLBSL,2023-12-21,598.0,Buy,,
ACLBSL,2024-02-15,626.5,Sell,28.5,-152.10000000000002
ACLBSL,2024-02-18,618.9,Buy,,
ACLBSL,2024-02-25,607.0,Sell,-11.899999999999977,-164.0
ACLBSL,2024-03-18,675.0,Buy,,
ACLBSL,2024-08-08,1230.2,Sell,555.2,391.20000000000005
ACLBSL,2025-01-26,1145.0,Buy,,
ACLBSL,2025-03-11,1100.0,Sell,-45.0,346.20000000000005
ACLBSL,,,STOCK_PROFIT,,346.20000000000005
ADBL,2021-05-23,452.0,Buy,,
ADBL,2021-05-24,446.0,Sell,-6.0,-6.0
ADBL,2021-06-02,450.0,Buy,,
ADBL,2021-07-11,480.0,Sell,30.0,24.0
ADBL,2021-07-17,505.0,Buy,,
ADBL,2021-08-28,559.0,Sell,54.0,78.0
ADBL,2023-07-18,247.0,Buy,,
ADBL,2023-09-05,252.1,Sell,5.099999999999994,83.1
ADBL,2024-05-05,239.0,Buy,,
ADBL,2024-05-06,235.5,Sell,-3.5,79.6
ADBL,2024-05-09,239.0,Buy,,
ADBL,2024-07-04,272.9,Sell,33.89999999999998,113.49999999999997
ADBL,2024-07-07,281.1,Buy,,
ADBL,2024-09-05,373.0,Sell,91.89999999999998,205.39999999999995
ADBL,,,STOCK_PROFIT,,205.39999999999995
ADBLD83,2023-04-03,930.0,Buy,,
ADBLD83,2023-09-03,970.0,Sell,40.0,40.0
ADBLD83,2024-01-03,1025.0,Buy,,
ADBLD83,2024-01-21,990.0,Sell,-35.0,5.0
ADBLD83,2024-03-28,1035.0,Buy,,
ADBLD83,2024-06-11,1075.0,Sell,40.0,45.0
ADBLD83,2024-06-27,1135.0,Buy,,
ADBLD83,2024-07-23,1060.0,Sell,-75.0,-30.0
ADBLD83,2024-07-24,1080.0,Buy,,
ADBLD83,2024-07-25,1060.0,Sell,-20.0,-50.0
ADBLD83,2024-09-15,1115.0,Buy,,
ADBLD83,2024-09-22,1090.0,Sell,-25.0,-75.0
ADBLD83,2024-10-01,1100.0,Buy,,
ADBLD83,2025-01-19,1080.0,Sell,-20.0,-95.0
ADBLD83,,,STOCK_PROFIT,,-95.0
AHL,2023-06-18,376.6,Buy,,
AHL,2023-06-21,362.6,Sell,-14.0,-14.0
AHL,2023-06-25,374.3,Buy,,
