symbol,date,price,action,trade_profit,total_profit
ACLBSL,2021-02-06,1762.0,Buy,,
ACLBSL,2021-02-13,1595.0,Sell,-167.0,-167.0
ACLBSL,2021-03-20,1642.0,Buy,,
ACLBSL,2021-04-03,1543.0,Sell,-99.0,-266.0
ACLBSL,2021-04-11,1675.0,Buy,,
ACLBSL,2021-04-18,1579.0,Sell,-96.0,-362.0
ACLBSL,2021-05-03,1649.0,Buy,,
ACLBSL,2021-05-26,1633.0,Sell,-16.0,-378.0
ACLBSL,2021-07-10,1565.0,Buy,,
ACLBSL,2021-08-04,1721.0,Sell,156.0,-222.0
ACLBSL,2021-10-04,1438.9,Buy,,
ACLBSL,2021-10-20,1396.1,Sell,-42.80000000000018,-264.8000000000002
ACLBSL,2021-10-24,1519.0,Buy,,
ACLBSL,2021-11-09,1465.0,Sell,-54.0,-318.8000000000002
ACLBSL,2021-12-27,1227.0,Buy,,
ACLBSL,2022-01-24,1415.0,Sell,188.0,-130.80000000000018
ACLBSL,2022-02-02,1433.0,Buy,,
ACLBSL,2022-02-07,1430.0,Sell,-3.0,-133.80000000000018
ACLBSL,2022-03-12,1374.0,Buy,,
ACLBSL,2022-03-27,1325.0,Sell,-49.0,-182.80000000000018
ACLBSL,2022-04-23,973.0,Buy,,
ACLBSL,2022-04-26,940.0,Sell,-33.0,-215.80000000000018
ACLBSL,2022-05-10,962.8,Buy,,
ACLBSL,2022-05-22,887.0,Sell,-75.79999999999995,-291.60000000000014
ACLBSL,2022-05-29,890.0,Buy,,
ACLBSL,2023-01-19,853.0,Sell,-37.0,-328.60000000000014
ACLBSL,2023-03-22,577.0,Buy,,
ACLBSL,2023-05-14,534.5,Sell,-42.5,-371.10000000000014
ACLBSL,2023-05-23,570.0,Buy,,
ACLBSL,2023-05-31,556.0,Sell,-14.0,-385.10000000000014
ACLBSL,2023-06-13,605.5,Buy,,
ACLBSL,2023-07-06,618.0,Sell,12.5,-372.60000000000014
ACLBSL,2023-07-18,674.0,Buy,,
ACLBSL,2023-07-26,662.0,Sell,-12.0,-384.60000000000014
ACLBSL,2023-09-21,559.0,Buy,,
ACLBSL,2023-10-05,550.0,Sell,-9.0,-393.60000000000014
ACLBSL,2023-10-19,555.0,Buy,,
ACLBSL,2023-11-01,525.0,Sell,-30.0,-423.60000000000014
ACLBSL,2023-11-22,541.0,Buy,,
ACLBSL,2023-12-03,508.0,Sell,-33.0,-456.60000000000014
ACLBSL,2023-12-11,538.7,Buy,,
ACLBSL,2024-01-02,561.0,Sell,22.299999999999955,-434.3000000000002
ACLBSL,2024-01-11,594.0,Buy,,
ACLBSL,2024-01-24,597.1,Sell,3.1000000000000227,-431.20000000000016
ACLBSL,2024-03-10,640.0,Buy,,
ACLBSL,2024-04-01,715.0,Sell,75.0,-356.20000000000016
ACLBSL,2024-04-03,759.0,Buy,,
ACLBSL,2024-04-21,768.9,Sell,9.899999999999977,-346.3000000000002
ACLBSL,2024-05-02,837.0,Buy,,
ACLBSL,2024-06-18,986.0,Sell,149.0,-197.30000000000018
ACLBSL,2024-06-25,1048.5,Buy,,
ACLBSL,2024-07-29,1247.0,Sell,198.5,1.199999999999818
ACLBSL,2024-10-07,1046.0,Buy,,
ACLBSL,2024-10-20,1045.0,Sell,-1.0,0.1999999999998181
ACLBSL,2024-11-06,1056.0,Buy,,
ACLBSL,2024-11-24,1129.9,Sell,73.90000000000009,74.09999999999991
ACLBSL,2025-01-08,1038.7,Buy,,
ACLBSL,2025-01-12,1025.0,Sell,-13.700000000000045,60.399999999999864
ACLBSL,2025-01-26,1145.0,Buy,,
ACLBSL,2025-03-02,1237.9,Sell,92.90000000000009,153.29999999999995
ACLBSL,2025-06-17,1057.85,Buy,,
ACLBSL,,,STOCK_PROFIT,,153.29999999999995
ADBL,2021-03-30,445.0,Buy,,
ADBL,2021-04-11,437.0,Sell,-8.0,-8.0
ADBL,2021-04-17,441.0,Buy,,
ADBL,2021-04-18,433.0,Sell,-8.0,-16.0
ADBL,2021-05-15,425.0,Buy,,
ADBL,2021-06-20,470.0,Sell,45.0,29.0
ADBL,2021-07-17,505.0,Buy,,
ADBL,2021-08-08,580.0,Sell,75.0,104.0
ADBL,2021-09-25,540.0,Buy,,
ADBL,2021-09-27,509.0,Sell,-31.0,73.0
ADBL,2021-10-24,512.0,Buy,,
ADBL,2021-11-09,515.0,Sell,3.0,76.0
ADBL,2021-12-19,463.0,Buy,,
ADBL,2022-01-02,415.0,Sell,-48.0,28.0
ADBL,2022-01-17,440.0,Buy,,
ADBL,2022-01-23,422.0,Sell,-18.0,10.0
ADBL,2022-03-08,383.9,Buy,,
ADBL,2022-03-29,385.0,Sell,1.1000000000000227,11.100000000000023
ADBL,2022-04-23,376.6,Buy,,
ADBL,2022-04-26,371.0,Sell,-5.600000000000023,5.5
ADBL,2022-05-09,377.7,Buy,,
ADBL,2022-05-19,364.0,Sell,-13.699999999999989,-8.199999999999989
ADBL,2022-12-26,323.3,Buy,,
ADBL,2023-01-13,330.2,Sell,6.899999999999977,-1.3000000000000114
ADBL,2023-03-07,291.0,Buy,,
ADBL,2023-03-13,281.7,Sell,-9.300000000000011,-10.600000000000023
ADBL,2023-04-18,240.0,Buy,,
ADBL,2023-04-19,239.0,Sell,-1.0,-11.600000000000023
ADBL,2023-05-04,233.9,Buy,,
ADBL,2023-05-14,227.0,Sell,-6.900000000000006,-18.50000000000003
ADBL,2023-05-23,233.1,Buy,,
ADBL,2023-05-30,228.0,Sell,-5.099999999999994,-23.600000000000023
ADBL,2023-07-19,258.8,Buy,,
ADBL,2023-07-30,246.8,Sell,-12.0,-35.60000000000002
ADBL,2023-08-06,265.0,Buy,,
ADBL,2023-08-20,260.0,Sell,-5.0,-40.60000000000002
ADBL,2023-09-21,262.7,Buy,,
ADBL,2023-09-25,260.5,Sell,-2.1999999999999886,-42.80000000000001
ADBL,2023-12-10,248.5,Buy,,
ADBL,2023-12-28,247.0,Sell,-1.5,-44.30000000000001
ADBL,2024-03-04,237.4,Buy,,
ADBL,2024-03-06,228.3,Sell,-9.099999999999994,-53.400000000000006
ADBL,2024-03-13,236.0,Buy,,
ADBL,2024-03-25,233.5,Sell,-2.5,-55.900000000000006
ADBL,2024-04-21,233.0,Buy,,
ADBL,2024-05-08,233.0,Sell,0.0,-55.900000000000006
ADBL,2024-05-14,245.0,Buy,,
ADBL,2024-06-05,264.0,Sell,19.0,-36.900000000000006
ADBL,2024-07-07,281.1,Buy,,
ADBL,2024-08-11,383.9,Sell,102.79999999999995,65.89999999999995
ADBL,2024-08-13,400.0,Buy,,
ADBL,2024-08-25,399.0,Sell,-1.0,64.89999999999995
ADBL,2024-10-02,369.0,Buy,,
ADBL,2024-10-23,367.0,Sell,-2.0,62.89999999999995
ADBL,2025-01-27,283.5,Buy,,
ADBL,2025-02-11,291.8,Sell,8.300000000000011,71.19999999999996
ADBL,2025-03-02,309.0,Buy,,
ADBL,2025-03-09,297.0,Sell,-12.0,59.19999999999996
ADBL,2025-04-02,295.23,Buy,,
ADBL,2025-04-10,287.85,Sell,-7.3799999999999955,51.819999999999965
ADBL,,,STOCK_PROFIT,,51.819999999999965
ADBLD83,2021-05-31,1085.0,Buy,,
ADBLD83,2021-06-23,1083.0,Sell,-2.0,-2.0
ADBLD83,2021-06-26,1126.0,Buy,,
ADBLD83,2021-07-06,1085.0,Sell,-41.0,-43.0
ADBLD83,2021-07-13,1128.0,Buy,,
ADBLD83,2021-07-17,1062.0,Sell,-66.0,-109.0
ADBLD83,2021-08-23,1060.0,Buy,,
ADBLD83,2021-08-30,1040.2,Sell,-19.799999999999955,-128.79999999999995
ADBLD83,2021-09-25,1051.0,Buy,,
ADBLD83,2021-09-28,1024.1,Sell,-26.90000000000009,-155.70000000000005
ADBLD83,2021-10-24,1035.0,Buy,,
ADBLD83,2021-11-14,1020.0,Sell,-15.0,-170.70000000000005
ADBLD83,2021-11-30,1026.1,Buy,,
ADBLD83,2021-12-01,1011.0,Sell,-15.099999999999909,-185.79999999999995
ADBLD83,2021-12-26,1030.0,Buy,,
ADBLD83,2022-01-24,1000.0,Sell,-30.0,-215.79999999999995
ADBLD83,2022-03-01,989.4,Buy,,
ADBLD83,2022-03-14,955.5,Sell,-33.89999999999998,-249.69999999999993
ADBLD83,2022-04-10,983.2,Buy,,
ADBLD83,2022-05-07,980.1,Sell,-3.1000000000000227,-252.79999999999995
ADBLD83,2022-06-07,964.6,Buy,,
ADBLD83,2022-12-12,931.0,Sell,-33.60000000000002,-286.4
ADBLD83,2023-03-20,910.0,Buy,,
ADBLD83,2023-03-29,892.2,Sell,-17.799999999999955,-304.19999999999993
ADBLD83,2023-07-16,1123.0,Buy,,
ADBLD83,2023-08-20,1029.6,Sell,-93.40000000000009,-397.6
ADBLD83,2023-10-08,980.0,Buy,,
ADBLD83,2023-12-27,1011.0,Sell,31.0,-366.6
ADBLD83,2024-01-07,1049.0,Buy,,
ADBLD83,2024-01-21,990.0,Sell,-59.0,-425.6
ADBLD83,2024-02-14,1019.0,Buy,,
ADBLD83,2024-03-17,1010.0,Sell,-9.0,-434.6
ADBLD83,2024-03-18,1028.0,Buy,,
ADBLD83,2024-05-14,1056.0,Sell,28.0,-406.6
ADBLD83,2024-05-19,1122.0,Buy,,
ADBLD83,2024-05-26,1055.0,Sell,-67.0,-473.6
ADBLD83,2024-06-18,1115.0,Buy,,
ADBLD83,2024-07-21,1078.0,Sell,-37.0,-510.6
ADBLD83,2024-08-22,1100.0,Buy,,
ADBLD83,2024-09-02,1090.0,Sell,-10.0,-520.6
ADBLD83,2024-09-15,1115.0,Buy,,
ADBLD83,2024-09-22,1090.0,Sell,-25.0,-545.6
ADBLD83,2024-11-10,1150.0,Buy,,
ADBLD83,2024-12-10,1125.0,Sell,-25.0,-570.6
ADBLD83,2025-03-20,1100.0,Buy,,
ADBLD83,2025-04-30,1081.1,Sell,-18.90000000000009,-589.5000000000001
ADBLD83,,,STOCK_PROFIT,,-589.5000000000001
AHL,2023-05-23,365.0,Buy,,
AHL,2023-06-07,346.0,Sell,-19.0,-19.0
AHL,2023-06-13,360.0,Buy,,
AHL,2023-06-28,355.0,Sell,-5.0,-24.0
AHL,2023-07-23,345.0,Buy,,
AHL,2023-07-31,332.0,Sell,-13.0,-37.0
AHL,2023-09-13,301.0,Buy,,
AHL,2023-10-08,343.0,Sell,42.0,5.0
AHL,2023-11-23,324.3,Buy,,
AHL,2024-01-02,372.0,Sell,47.69999999999999,52.69999999999999
AHL,2024-02-07,466.7,Buy,,
AHL,2024-02-20,450.0,Sell,-16.69999999999999,36.0
AHL,2024-04-14,449.8,Buy,,
AHL,2024-04-15,442.2,Sell,-7.600000000000023,28.399999999999977
AHL,2024-05-22,479.0,Buy,,
AHL,2024-05-27,469.0,Sell,-10.0,18.399999999999977
AHL,2024-06-02,490.0,Buy,,
AHL,2024-06-13,504.0,Sell,14.0,32.39999999999998
AHL,2024-07-24,689.9,Buy,,
AHL,2024-08-07,717.0,Sell,27.100000000000023,59.5
AHL,2024-10-09,675.0,Buy,,
AHL,2024-10-23,651.0,Sell,-24.0,35.5
AHL,2024-10-27,700.0,Buy,,
AHL,2024-11-21,691.0,Sell,-9.0,26.5
AHL,2024-11-27,724.0,Buy,,
AHL,2024-12-10,716.0,Sell,-8.0,18.5
AHL,2025-01-06,740.0,Buy,,
AHL,2025-02-09,824.5,Sell,84.5,103.0
AHL,2025-03-30,738.1,Buy,,
AHL,2025-04-22,738.9,Sell,0.7999999999999545,103.79999999999995
AHL,2025-05-21,688.6,Buy,,
AHL,2025-05-27,664.11,Sell,-24.49000000000001,79.30999999999995
AHL,2025-06-17,612.0,Buy,,
AHL,2025-06-19,605.29,Sell,-6.710000000000036,72.59999999999991
AHL,,,STOCK_PROFIT,,72.59999999999991
