symbol,date,price,action,trade_profit,total_profit
ACLBSL,2022-06-02,830.0,Buy,,
ACLBSL,2022-12-28,740.0,Sell,-90.0,-90.0
ACLBSL,2023-05-07,550.0,Buy,,
ACLBSL,2023-05-22,560.0,Sell,10.0,-80.0
ACLBSL,2025-06-19,1025.93,Buy,,
ACLBSL,,,STOCK_PROFIT,,-80.0
ADBL,2022-04-05,366.9,Buy,,
ADBL,2022-04-23,376.6,Sell,9.700000000000045,9.700000000000045
ADBL,2023-03-01,279.3,Buy,,
ADBL,2023-03-08,295.7,Sell,16.399999999999977,26.100000000000023
ADBL,,,STOCK_PROFIT,,26.100000000000023
ADBLD83,2021-07-17,1062.0,Buy,,
ADBLD83,2021-08-09,1070.0,Sell,8.0,8.0
ADBLD83,2021-09-29,1025.0,Buy,,
ADBLD83,2021-10-24,1035.0,Sell,10.0,18.0
ADBLD83,2022-02-26,985.0,Buy,,
ADBLD83,2022-03-21,984.0,Sell,-1.0,17.0
ADBLD83,,,STOCK_PROFIT,,17.0
AHL,,,STOCK_PROFIT,,0
AHPC,2022-06-14,375.0,Buy,,
AHPC,2022-12-28,299.0,Sell,-76.0,-76.0
AHPC,,,STOCK_PROFIT,,-76.0
AKJCL,,,STOCK_PROFIT,,0
AKPL,2022-03-06,491.9,Buy,,
AKPL,2022-03-20,524.9,Sell,33.0,33.0
AKPL,2022-06-14,427.0,Buy,,
AKPL,2022-12-28,379.0,Sell,-48.0,-15.0
AKPL,,,STOCK_PROFIT,,-15.0
ALBSL,2021-08-30,1790.0,Buy,,
ALBSL,2021-10-03,1699.5,Sell,-90.5,-90.5
ALBSL,2022-03-30,1361.0,Buy,,
ALBSL,2022-04-23,1399.0,Sell,38.0,-52.5
ALBSL,,,STOCK_PROFIT,,-52.5
ALICL,2021-10-18,1115.0,Buy,,
ALICL,2021-10-24,1189.0,Sell,74.0,74.0
ALICL,,,STOCK_PROFIT,,74.0
ANLB,,,STOCK_PROFIT,,0
API,2022-03-27,368.0,Buy,,
API,2022-05-09,305.0,Sell,-63.0,-63.0
API,,,STOCK_PROFIT,,-63.0
AVYAN,,,STOCK_PROFIT,,0
BARUN,2022-03-30,464.0,Buy,,
BARUN,2022-05-08,407.0,Sell,-57.0,-57.0
BARUN,2023-07-05,238.0,Buy,,
BARUN,2023-07-20,255.8,Sell,17.80000000000001,-39.19999999999999
BARUN,,,STOCK_PROFIT,,-39.19999999999999
BBC,2021-06-19,6000.0,Buy,,
BBC,2021-07-14,5698.0,Sell,-302.0,-302.0
BBC,,,STOCK_PROFIT,,-302.0
BEDC,2023-08-02,217.0,Buy,,
BEDC,2023-09-10,188.0,Sell,-29.0,-29.0
BEDC,,,STOCK_PROFIT,,-29.0
BFC,,,STOCK_PROFIT,,0
BGWT,2024-12-09,936.0,Buy,,
BGWT,2024-12-23,991.1,Sell,55.10000000000002,55.10000000000002
BGWT,2025-03-11,1028.0,Buy,,
BGWT,2025-06-12,935.77,Sell,-92.23000000000002,-37.129999999999995
BGWT,,,STOCK_PROFIT,,-37.129999999999995
BHDC,2023-07-03,366.6,Buy,,
BHDC,2023-07-12,391.2,Sell,24.599999999999966,24.599999999999966
BHDC,2023-08-06,334.1,Buy,,
