symbol,date,price,action,trade_profit,total_profit
ACLBSL,2021-05-09,1620.0,Buy,,
ACLBSL,2021-05-26,1633.0,Sell,13.0,13.0
ACLBSL,2021-07-31,1665.0,Buy,,
ACLBSL,2021-08-04,1721.0,Sell,56.0,69.0
ACLBSL,2022-02-05,1409.0,Buy,,
ACLBSL,2022-02-07,1430.0,Sell,21.0,90.0
ACLBSL,2023-07-20,670.0,Buy,,
ACLBSL,2023-07-30,637.0,Sell,-33.0,57.0
ACLBSL,2024-01-24,597.1,Buy,,
ACLBSL,2024-01-28,630.0,Sell,32.89999999999998,89.89999999999998
ACLBSL,2024-02-13,610.0,Buy,,
ACLBSL,2024-02-25,607.0,Sell,-3.0,86.89999999999998
ACLBSL,2024-03-25,716.5,Buy,,
ACLBSL,2024-03-26,739.5,Sell,23.0,109.89999999999998
ACLBSL,2024-04-14,785.0,Buy,,
ACLBSL,2024-04-21,768.9,Sell,-16.100000000000023,93.79999999999995
ACLBSL,2024-05-21,946.0,Buy,,
ACLBSL,2024-06-18,986.0,Sell,40.0,133.79999999999995
ACLBSL,2024-06-30,1050.0,Buy,,
ACLBSL,2024-07-23,1320.9,Sell,270.9000000000001,404.70000000000005
ACLBSL,2025-02-10,1150.0,Buy,,
ACLBSL,2025-03-02,1237.9,Sell,87.90000000000009,492.60000000000014
ACLBSL,,,STOCK_PROFIT,,492.60000000000014
ADBL,2021-06-12,461.0,Buy,,
ADBL,2021-06-20,470.0,Sell,9.0,9.0
ADBL,2021-06-30,486.0,Buy,,
ADBL,2021-08-01,573.0,Sell,87.0,96.0
ADBL,2023-08-09,258.0,Buy,,
ADBL,2023-08-27,257.0,Sell,-1.0,95.0
ADBL,2024-05-05,239.0,Buy,,
ADBL,2024-05-08,233.0,Sell,-6.0,89.0
ADBL,2024-05-16,241.1,Buy,,
ADBL,2024-05-30,261.0,Sell,19.900000000000006,108.9
ADBL,2024-07-16,310.0,Buy,,
ADBL,2024-08-01,369.8,Sell,59.80000000000001,168.70000000000002
ADBL,,,STOCK_PROFIT,,168.70000000000002
ADBLD83,2022-01-08,1071.0,Buy,,
ADBLD83,2022-01-24,1000.0,Sell,-71.0,-71.0
ADBLD83,2023-05-04,950.2,Buy,,
ADBLD83,2023-07-02,990.0,Sell,39.799999999999955,-31.200000000000045
ADBLD83,2024-04-04,1035.0,Buy,,
ADBLD83,2024-05-14,1056.0,Sell,21.0,-10.200000000000045
ADBLD83,2024-06-18,1115.0,Buy,,
ADBLD83,2024-07-21,1078.0,Sell,-37.0,-47.200000000000045
ADBLD83,2024-10-22,1093.2,Buy,,
ADBLD83,2024-12-10,1125.0,Sell,31.799999999999955,-15.400000000000091
ADBLD83,2025-04-20,1132.0,Buy,,
ADBLD83,2025-04-28,1100.0,Sell,-32.0,-47.40000000000009
ADBLD83,,,STOCK_PROFIT,,-47.40000000000009
AHL,2023-06-25,374.3,Buy,,
AHL,2023-06-28,355.0,Sell,-19.30000000000001,-19.30000000000001
AHL,2023-12-17,391.9,Buy,,
AHL,2023-12-18,379.0,Sell,-12.899999999999977,-32.19999999999999
AHL,2024-01-03,382.0,Buy,,
AHL,2024-01-21,416.5,Sell,34.5,2.3000000000000114
AHL,2024-02-04,415.0,Buy,,
AHL,2024-02-18,457.5,Sell,42.5,44.80000000000001
AHL,2024-03-06,431.2,Buy,,
AHL,2024-03-17,435.0,Sell,3.8000000000000114,48.60000000000002
AHL,2024-06-27,514.0,Buy,,
AHL,2024-06-30,503.0,Sell,-11.0,37.60000000000002
AHL,2024-07-31,760.0,Buy,,
AHL,2024-08-05,727.0,Sell,-33.0,4.600000000000023
AHL,2024-09-01,675.0,Buy,,
AHL,2024-09-05,727.0,Sell,52.0,56.60000000000002
AHL,2024-10-29,706.5,Buy,,
AHL,2024-11-05,680.0,Sell,-26.5,30.100000000000023
AHL,2025-01-27,829.0,Buy,,
AHL,2025-01-28,835.0,Sell,6.0,36.10000000000002
AHL,2025-02-17,849.0,Buy,,
AHL,2025-02-18,831.0,Sell,-18.0,18.100000000000023
AHL,,,STOCK_PROFIT,,18.100000000000023
AHPC,2021-07-28,526.5,Buy,,
AHPC,2021-08-14,591.0,Sell,64.5,64.5
AHPC,2021-08-24,655.0,Buy,,
AHPC,2021-09-04,641.5,Sell,-13.5,51.0
AHPC,2023-12-17,237.0,Buy,,
AHPC,2023-12-27,235.0,Sell,-2.0,49.0
AHPC,2024-01-18,280.9,Buy,,
AHPC,2024-01-28,280.2,Sell,-0.6999999999999886,48.30000000000001
AHPC,2024-07-25,212.5,Buy,,
AHPC,2024-07-30,220.0,Sell,7.5,55.80000000000001
AHPC,2024-08-07,240.0,Buy,,
AHPC,2024-08-28,308.0,Sell,68.0,123.80000000000001
AHPC,,,STOCK_PROFIT,,123.80000000000001
AKJCL,2021-03-28,149.0,Buy,,
AKJCL,2021-04-04,150.0,Sell,1.0,1.0
AKJCL,2021-05-09,167.0,Buy,,
AKJCL,2021-05-22,225.0,Sell,58.0,59.0
AKJCL,2021-08-07,400.0,Buy,,
AKJCL,2021-08-14,395.0,Sell,-5.0,54.0
AKJCL,2023-03-13,229.0,Buy,,
AKJCL,2023-03-25,222.4,Sell,-6.599999999999994,47.400000000000006
AKJCL,2024-01-18,213.7,Buy,,
AKJCL,2024-02-04,228.9,Sell,15.200000000000017,62.60000000000002
AKJCL,2024-08-27,219.0,Buy,,
AKJCL,2024-08-29,227.0,Sell,8.0,70.60000000000002
AKJCL,2025-03-04,222.9,Buy,,
AKJCL,2025-03-11,207.9,Sell,-15.0,55.60000000000002
AKJCL,,,STOCK_PROFIT,,55.60000000000002
AKPL,2021-03-22,334.0,Buy,,
AKPL,2021-03-28,329.0,Sell,-5.0,-5.0
AKPL,2021-04-26,342.0,Buy,,
AKPL,2021-04-28,340.0,Sell,-2.0,-7.0
AKPL,2021-05-09,344.0,Buy,,
AKPL,2021-05-10,345.0,Sell,1.0,-6.0
AKPL,2021-07-28,563.0,Buy,,
AKPL,2021-08-07,619.0,Sell,56.0,50.0
AKPL,2021-08-24,788.9,Buy,,
AKPL,2021-08-30,659.0,Sell,-129.89999999999998,-79.89999999999998
AKPL,2022-01-18,578.0,Buy,,
AKPL,2022-01-23,558.0,Sell,-20.0,-99.89999999999998
AKPL,2024-01-10,182.4,Buy,,
AKPL,2024-01-31,201.0,Sell,18.599999999999994,-81.29999999999998
AKPL,2024-07-22,208.8,Buy,,
AKPL,2024-07-30,218.7,Sell,9.899999999999977,-71.4
AKPL,2025-04-30,246.63,Buy,,
AKPL,2025-05-14,242.4,Sell,-4.22999999999999,-75.63
AKPL,2025-05-25,241.97,Buy,,
AKPL,2025-06-16,280.31,Sell,38.34,-37.28999999999999
AKPL,,,STOCK_PROFIT,,-37.28999999999999
ALBSL,2021-05-08,1770.0,Buy,,
ALBSL,2021-05-26,1823.0,Sell,53.0,53.0
ALBSL,2021-07-12,1845.0,Buy,,
ALBSL,2021-07-26,1950.0,Sell,105.0,158.0
ALBSL,,,STOCK_PROFIT,,158.0
ALICL,2021-05-22,1370.0,Buy,,
ALICL,2021-06-05,1475.0,Sell,105.0,105.0
ALICL,2023-06-21,667.0,Buy,,
ALICL,2023-07-05,745.0,Sell,78.0,183.0
ALICL,2023-12-17,680.9,Buy,,
