symbol,date,open,high,low,close,volume,turnover
ACLBSL,2025/06/29,"1,015.00","1,030.00","1,011.40","1,025.58","2,290","2,342,360.50"
ACLBSL,2025/06/26,"1,015.00","1,022.00","1,011.20","1,013.19","1,372","1,394,369.10"
ACLBSL,2025/06/25,"1,010.00","1,020.00","1,010.00","1,018.89",507,"515,726.90"
ADBL,2025/06/29,285.00,287.40,280.00,286.67,"37,928","10,772,527.80"
ADBL,2025/06/26,281.80,284.00,281.10,281.85,"30,005","8,456,034.10"
ADBL,2025/06/25,286.00,286.00,281.00,281.73,"17,868","5,036,748.60"
ADBLD83,2025/06/29,"1,087.00","1,129.50","1,071.80","1,071.80",711,"784,277.00"
ADBLD83,2025/06/26,"1,109.00","1,109.00","1,087.00","1,087.00",54,"58,698.00"
ADBLD83,2025/06/25,"1,095.00","1,109.00","1,073.10","1,109.00",345,"372,379.10"
AHL,2025/06/29,591.50,634.00,588.50,613.27,"8,027","4,906,128.00"
AHL,2025/06/26,600.00,610.00,593.00,600.00,"5,651","3,371,952.20"
AHL,2025/06/25,600.00,624.90,595.00,602.78,770,"469,005.00"
AHPC,2025/06/29,278.00,287.00,278.00,284.37,"180,099","51,252,128.90"
AHPC,2025/06/26,290.70,290.70,281.00,282.95,"225,648","64,307,368.70"
AHPC,2025/06/25,284.50,288.90,283.30,285.03,"148,028","42,226,538.20"
AKJCL,2025/06/29,210.00,212.00,208.80,209.82,"120,043","25,172,609.10"
AKJCL,2025/06/26,214.60,215.00,209.60,210.93,"206,445","43,725,218.50"
AKJCL,2025/06/25,215.00,215.00,208.60,210.97,"96,883","20,393,814.80"
AKPL,2025/06/29,258.00,261.40,255.20,257.18,"195,356","50,432,195.70"
AKPL,2025/06/26,259.00,263.80,255.10,256.48,"284,574","73,801,918.10"
AKPL,2025/06/25,261.00,264.00,257.00,257.26,"145,385","37,605,991.30"
ALBSL,2025/06/29,805.90,805.90,780.10,804.55,"4,395","3,526,352.90"
ALBSL,2025/06/26,807.90,807.90,786.10,791.68,"4,204","3,349,987.10"
ALBSL,2025/06/25,812.20,812.20,790.00,792.26,"2,895","2,296,066.10"
ALICL,2025/06/29,493.00,497.80,490.00,496.38,"14,183","7,002,684.60"
ALICL,2025/06/26,484.80,501.00,484.80,493.75,"94,745","47,298,608.60"
ALICL,2025/06/25,500.00,500.00,493.00,494.65,"18,654","9,253,520.00"
ANLB,2025/06/29,"5,465.00","5,649.00","5,420.30","5,568.98",232,"1,266,951.90"
ANLB,2025/06/26,"5,500.00","5,589.00","5,415.10","5,565.42","1,112","6,072,375.00"
ANLB,2025/06/25,"5,339.10","5,562.90","5,339.10","5,500.00",672,"3,642,110.50"
API,2025/06/29,294.00,294.00,288.10,288.63,"136,736","39,575,456.10"
API,2025/06/26,297.00,297.00,288.00,288.55,"223,162","64,881,810.00"
API,2025/06/25,298.90,298.90,290.10,291.60,"147,758","43,116,203.10"
AVYAN,2025/06/29,980.00,999.60,975.10,993.15,"1,918","1,891,388.60"
AVYAN,2025/06/26,975.50,998.90,975.00,977.09,"1,992","1,953,071.20"
AVYAN,2025/06/25,961.90,999.00,961.90,994.00,260,"255,993.00"
BARUN,2025/06/29,409.80,432.40,407.00,417.75,"482,013","203,645,044.80"
BARUN,2025/06/26,370.00,405.80,370.00,401.88,"711,555","280,567,080.90"
BARUN,2025/06/25,377.90,377.90,366.00,368.95,"100,504","37,083,834.20"
BBC,2025/06/29,"5,489.00","5,489.00","5,310.00","5,400.00",137,"741,091.30"
BBC,2025/06/26,"5,320.00","5,494.00","5,320.00","5,384.30",711,"3,849,206.00"
BBC,2025/06/25,"5,507.00","5,507.00","5,355.00","5,396.52",261,"1,408,276.00"
BEDC,2025/06/29,631.30,660.00,630.00,633.10,"16,955","10,829,809.30"
BEDC,2025/06/26,629.00,640.00,616.50,618.94,"9,369","5,852,744.60"
BEDC,2025/06/25,646.00,646.00,626.00,632.15,"7,663","4,832,023.00"
BFC,2025/06/29,473.00,473.00,463.10,468.61,"19,869","9,271,107.90"
BFC,2025/06/26,470.00,475.00,466.00,466.21,"12,681","5,928,017.80"
BFC,2025/06/25,475.90,475.90,466.00,467.52,"5,951","2,783,572.60"
BGWT,2025/06/29,880.00,944.00,880.00,941.37,"2,732","2,491,213.50"
BGWT,2025/06/26,889.00,900.00,887.20,894.85,"1,565","1,397,158.90"
BGWT,2025/06/25,900.00,900.00,887.00,899.66,"1,242","1,114,828.00"
BHDC,2025/06/29,463.90,500.30,448.00,495.65,"154,734","74,233,987.40"
BHDC,2025/06/26,455.50,460.00,445.60,454.85,"47,876","21,636,357.00"
BHDC,2025/06/25,447.00,463.40,445.00,446.60,"54,036","24,387,579.00"
BHL,2025/06/29,209.00,210.00,205.50,206.28,"185,443","38,322,295.40"
BHL,2025/06/26,208.00,210.00,206.60,207.55,"179,182","37,299,168.20"
BHL,2025/06/25,206.00,209.50,206.00,207.02,"143,366","29,715,048.00"
BHPL,2025/06/29,740.00,740.00,707.10,718.94,"6,325","4,565,602.60"
BHPL,2025/06/26,755.00,759.00,739.00,739.97,"6,568","4,899,136.60"
BHPL,2025/06/25,755.00,755.00,745.00,747.10,"2,170","1,622,184.60"
BNHC,2025/06/29,500.10,505.00,497.00,504.95,"6,841","3,425,440.80"
BNHC,2025/06/26,496.00,514.00,495.00,504.59,"14,478","7,327,242.30"
BNHC,2025/06/25,486.00,497.00,486.00,496.42,"9,076","4,469,775.10"
BNL,2025/06/29,"15,450.00","15,450.00","15,450.00","15,450.00",20,"309,000.00"
BNL,2025/06/26,"15,430.00","15,430.00","15,430.00","15,430.00",10,"154,300.00"
BNT,2025/06/29,"12,210.00","12,440.00","12,202.50","12,210.30",110,"1,352,558.00"
BNT,2025/06/26,"12,301.20","12,400.00","12,290.00","12,294.24",434,"5,340,646.00"
BNT,2025/06/25,"12,549.00","12,700.00","12,328.40","12,366.66",361,"4,481,979.60"
BOKD86,2025/06/29,"1,070.00","1,070.00","1,070.00","1,070.00",50,"53,500.00"
BPCL,2025/06/29,844.90,845.00,812.50,814.85,"424,047","349,962,132.80"
BPCL,2025/06/26,830.00,878.00,830.00,840.32,"728,605","625,231,175.70"
BPCL,2025/06/25,805.00,849.60,795.00,844.14,"654,290","539,457,326.40"
C30MF,2025/06/29,9.80,10.01,9.80,10.01,"19,300","192,948.00"
CBBL,2025/06/29,881.88,899.30,881.88,893.50,"12,448","11,076,142.80"
CBBL,2025/06/26,879.00,885.00,879.00,881.88,"25,225","22,220,024.50"
CBBL,2025/06/25,880.00,898.50,866.20,879.11,"10,546","9,300,470.00"
CBLD88,2025/06/29,"1,135.00","1,178.00","1,135.00","1,178.00",175,"206,129.70"
CBLD88,2025/06/26,"1,117.50","1,135.00","1,117.00","1,135.00",48,"54,062.00"
CBLD88,2025/06/25,"1,135.00","1,135.00","1,135.00","1,135.00",50,"56,750.00"
CFCL,2025/06/29,505.00,505.00,495.00,498.48,"8,270","4,112,664.00"
CFCL,2025/06/26,506.00,509.00,495.00,498.18,"19,084","9,542,308.70"
CFCL,2025/06/25,502.47,509.00,502.10,504.85,"6,466","3,263,110.10"
CGH,2025/06/29,972.00,972.00,940.00,950.84,"141,634","135,465,364.50"
CGH,2025/06/26,995.00,"1,000.00",961.00,966.00,"55,944","54,924,209.40"
CGH,2025/06/25,955.00,"1,000.00",941.00,994.90,"181,945","175,042,000.90"
CHCL,2025/06/29,545.00,551.00,538.50,546.67,"185,970","101,075,046.90"
CHCL,2025/06/26,547.00,558.90,541.00,541.78,"284,064","156,738,541.10"
