symbol,date,price,action,trade_profit,total_profit
ACLBSL,2021-03-22,1615.0,Buy,,
ACLBSL,2021-03-30,1576.0,Sell,-39.0,-39.0
ACLBSL,2021-05-03,1649.0,Buy,,
ACLBSL,2021-05-22,1760.0,Sell,111.0,72.0
ACLBSL,2021-07-10,1565.0,Buy,,
ACLBSL,2021-07-11,1542.0,Sell,-23.0,49.0
ACLBSL,2021-10-04,1438.9,Buy,,
ACLBSL,2021-10-10,1448.0,Sell,9.099999999999909,58.09999999999991
ACLBSL,2021-10-16,1490.0,Buy,,
ACLBSL,2021-10-17,1440.0,Sell,-50.0,8.099999999999909
ACLBSL,2022-01-01,1256.0,Buy,,
ACLBSL,2022-01-12,1528.0,Sell,272.0,280.0999999999999
ACLBSL,2022-03-19,1365.0,Buy,,
ACLBSL,2022-03-26,1345.0,Sell,-20.0,260.0999999999999
ACLBSL,2022-05-10,962.8,Buy,,
ACLBSL,2022-05-16,942.8,Sell,-20.0,240.0999999999999
ACLBSL,2022-12-31,760.0,Buy,,
ACLBSL,2023-01-12,824.0,Sell,64.0,304.0999999999999
ACLBSL,2023-04-11,605.0,Buy,,
ACLBSL,2023-04-16,589.0,Sell,-16.0,288.0999999999999
ACLBSL,2023-09-21,559.0,Buy,,
ACLBSL,2023-09-25,552.0,Sell,-7.0,281.0999999999999
ACLBSL,2023-09-26,565.0,Buy,,
ACLBSL,2023-10-01,550.0,Sell,-15.0,266.0999999999999
ACLBSL,2023-10-02,564.0,Buy,,
ACLBSL,2023-10-03,553.0,Sell,-11.0,255.0999999999999
ACLBSL,2023-11-22,541.0,Buy,,
ACLBSL,2023-11-28,520.3,Sell,-20.700000000000045,234.39999999999986
ACLBSL,2023-12-11,538.7,Buy,,
ACLBSL,2023-12-24,588.0,Sell,49.299999999999955,283.6999999999998
ACLBSL,2024-03-10,640.0,Buy,,
ACLBSL,2024-03-25,716.5,Sell,76.5,360.1999999999998
ACLBSL,2024-06-06,1010.0,Buy,,
ACLBSL,2024-06-18,986.0,Sell,-24.0,336.1999999999998
ACLBSL,2024-06-26,1080.0,Buy,,
ACLBSL,2024-07-10,1216.0,Sell,136.0,472.1999999999998
ACLBSL,2024-10-07,1046.0,Buy,,
ACLBSL,2024-10-08,1039.7,Sell,-6.2999999999999545,465.89999999999986
ACLBSL,2024-10-15,1052.9,Buy,,
ACLBSL,2024-10-20,1045.0,Sell,-7.900000000000091,457.9999999999998
ACLBSL,2025-01-08,1038.7,Buy,,
ACLBSL,2025-01-09,1022.0,Sell,-16.700000000000045,441.2999999999997
ACLBSL,2025-06-18,1057.85,Buy,,
ACLBSL,2025-06-19,1025.93,Sell,-31.919999999999845,409.3799999999999
ACLBSL,,,STOCK_PROFIT,,409.3799999999999
ADBL,2021-03-30,445.0,Buy,,
ADBL,2021-04-06,437.0,Sell,-8.0,-8.0
ADBL,2021-05-15,425.0,Buy,,
ADBL,2021-06-01,441.0,Sell,16.0,8.0
ADBL,2021-07-17,505.0,Buy,,
ADBL,2021-07-27,570.0,Sell,65.0,73.0
ADBL,2021-10-24,512.0,Buy,,
ADBL,2021-11-07,528.0,Sell,16.0,89.0
ADBL,2021-12-19,463.0,Buy,,
ADBL,2022-01-01,411.0,Sell,-52.0,37.0
ADBL,2022-03-12,403.0,Buy,,
ADBL,2022-03-20,395.6,Sell,-7.399999999999977,29.600000000000023
ADBL,2022-03-21,398.0,Buy,,
ADBL,2022-03-22,395.0,Sell,-3.0,26.600000000000023
ADBL,2022-04-23,376.6,Buy,,
ADBL,2022-04-25,373.0,Sell,-3.6000000000000227,23.0
ADBL,2022-05-09,377.7,Buy,,
ADBL,2022-05-16,366.0,Sell,-11.699999999999989,11.300000000000011
ADBL,2022-12-26,323.3,Buy,,
ADBL,2023-01-16,327.7,Sell,4.399999999999977,15.699999999999989
ADBL,2023-03-08,295.7,Buy,,
ADBL,2023-03-13,281.7,Sell,-14.0,1.6999999999999886
ADBL,2023-05-11,239.0,Buy,,
ADBL,2023-05-14,227.0,Sell,-12.0,-10.300000000000011
ADBL,2023-05-24,234.0,Buy,,
ADBL,2023-05-28,232.0,Sell,-2.0,-12.300000000000011
ADBL,2023-09-21,262.7,Buy,,
ADBL,2023-09-25,260.5,Sell,-2.1999999999999886,-14.5
ADBL,2024-01-29,246.5,Buy,,
ADBL,2024-01-30,245.5,Sell,-1.0,-15.5
ADBL,2024-03-04,237.4,Buy,,
ADBL,2024-03-05,229.5,Sell,-7.900000000000006,-23.400000000000006
ADBL,2024-03-12,239.7,Buy,,
ADBL,2024-03-19,234.4,Sell,-5.299999999999983,-28.69999999999999
ADBL,2024-04-21,233.0,Buy,,
ADBL,2024-05-07,237.1,Sell,4.099999999999994,-24.599999999999994
ADBL,2024-10-06,378.0,Buy,,
ADBL,2024-10-23,367.0,Sell,-11.0,-35.599999999999994
ADBL,2025-02-03,299.0,Buy,,
ADBL,2025-02-09,295.0,Sell,-4.0,-39.599999999999994
ADBL,2025-04-02,295.23,Buy,,
ADBL,2025-04-09,290.37,Sell,-4.860000000000014,-44.46000000000001
ADBL,2025-06-18,285.52,Buy,,
ADBL,2025-06-18,284.77,Sell,-0.75,-45.21000000000001
ADBL,,,STOCK_PROFIT,,-45.21000000000001
ADBLD83,2021-06-12,1090.0,Buy,,
ADBLD83,2021-06-22,1083.0,Sell,-7.0,-7.0
ADBLD83,2021-08-09,1070.0,Buy,,
ADBLD83,2021-08-11,1060.0,Sell,-10.0,-17.0
ADBLD83,2021-08-14,1071.0,Buy,,
ADBLD83,2021-08-16,1046.0,Sell,-25.0,-42.0
ADBLD83,2021-09-25,1051.0,Buy,,
ADBLD83,2021-09-26,1045.0,Sell,-6.0,-48.0
ADBLD83,2021-10-24,1035.0,Buy,,
ADBLD83,2021-10-26,1015.5,Sell,-19.5,-67.5
ADBLD83,2021-11-02,1035.3,Buy,,
ADBLD83,2021-11-14,1020.0,Sell,-15.299999999999955,-82.79999999999995
ADBLD83,2021-12-26,1030.0,Buy,,
ADBLD83,2022-01-15,1091.0,Sell,61.0,-21.799999999999955
ADBLD83,2022-03-21,984.0,Buy,,
ADBLD83,2022-03-22,975.0,Sell,-9.0,-30.799999999999955
ADBLD83,2022-04-10,983.2,Buy,,
ADBLD83,2022-05-07,980.1,Sell,-3.1000000000000227,-33.89999999999998
ADBLD83,2022-06-07,964.6,Buy,,
ADBLD83,2022-12-12,931.0,Sell,-33.60000000000002,-67.5
ADBLD83,2023-01-02,938.9,Buy,,
ADBLD83,2023-01-10,936.2,Sell,-2.699999999999932,-70.19999999999993
ADBLD83,2023-10-08,980.0,Buy,,
ADBLD83,2023-12-05,1011.0,Sell,31.0,-39.19999999999993
ADBLD83,2024-02-14,1019.0,Buy,,
ADBLD83,2024-03-17,1010.0,Sell,-9.0,-48.19999999999993
ADBLD83,2024-03-18,1028.0,Buy,,
ADBLD83,2024-04-07,1032.0,Sell,4.0,-44.19999999999993
ADBLD83,2024-04-09,1045.0,Buy,,
ADBLD83,2024-04-10,1037.0,Sell,-8.0,-52.19999999999993
ADBLD83,2024-04-14,1045.0,Buy,,
ADBLD83,2024-04-30,1060.0,Sell,15.0,-37.19999999999993
ADBLD83,2024-07-01,1130.0,Buy,,
ADBLD83,2024-07-14,1137.9,Sell,7.900000000000091,-29.29999999999984
ADBLD83,2024-08-22,1100.0,Buy,,
ADBLD83,2024-09-02,1090.0,Sell,-10.0,-39.29999999999984
ADBLD83,2025-04-07,1111.7,Buy,,
ADBLD83,2025-04-28,1100.0,Sell,-11.700000000000045,-50.999999999999886
ADBLD83,,,STOCK_PROFIT,,-50.999999999999886
AHL,2023-05-23,365.0,Buy,,
AHL,2023-05-31,327.5,Sell,-37.5,-37.5
AHL,2023-06-04,361.9,Buy,,
AHL,2023-06-05,349.9,Sell,-12.0,-49.5
AHL,2023-07-23,345.0,Buy,,
AHL,2023-07-30,344.9,Sell,-0.10000000000002274,-49.60000000000002
AHL,2023-09-13,301.0,Buy,,
AHL,2023-09-17,293.5,Sell,-7.5,-57.10000000000002
AHL,2023-09-19,306.3,Buy,,
AHL,2023-09-27,423.0,Sell,116.69999999999999,59.599999999999966
AHL,2023-11-26,335.0,Buy,,
AHL,2023-12-11,350.1,Sell,15.100000000000023,74.69999999999999
AHL,2024-10-08,659.0,Buy,,
AHL,2024-10-21,648.0,Sell,-11.0,63.69999999999999
AHL,2024-11-13,709.8,Buy,,
AHL,2024-11-19,690.0,Sell,-19.799999999999955,43.900000000000034
AHL,2024-11-20,699.0,Buy,,
AHL,2024-11-21,691.0,Sell,-8.0,35.900000000000034
AHL,2024-11-27,724.0,Buy,,
AHL,2024-12-10,716.0,Sell,-8.0,27.900000000000034
AHL,2025-04-01,745.38,Buy,,
AHL,2025-04-03,732.79,Sell,-12.590000000000032,15.310000000000002
AHL,,,STOCK_PROFIT,,15.310000000000002
AHPC,2021-04-26,270.0,Buy,,
AHPC,2021-05-03,306.0,Sell,36.0,36.0
AHPC,2021-07-18,483.0,Buy,,
AHPC,2021-07-31,538.0,Sell,55.0,91.0
AHPC,2021-10-24,443.8,Buy,,
AHPC,2021-11-09,488.0,Sell,44.19999999999999,135.2
AHPC,2021-12-21,437.8,Buy,,
AHPC,2021-12-26,423.0,Sell,-14.800000000000011,120.39999999999998
AHPC,2021-12-27,427.0,Buy,,
AHPC,2022-01-10,490.0,Sell,63.0,183.39999999999998
AHPC,2022-03-20,520.0,Buy,,
AHPC,2022-03-21,510.0,Sell,-10.0,173.39999999999998
AHPC,2022-05-09,419.0,Buy,,
AHPC,2022-05-16,407.0,Sell,-12.0,161.39999999999998
AHPC,2022-05-17,421.0,Buy,,
AHPC,2022-05-18,413.0,Sell,-8.0,153.39999999999998
AHPC,2022-05-24,416.0,Buy,,
AHPC,2022-05-26,411.0,Sell,-5.0,148.39999999999998
AHPC,2022-12-31,303.2,Buy,,
AHPC,2023-01-01,299.0,Sell,-4.199999999999989,144.2
AHPC,2023-01-03,315.0,Buy,,
AHPC,2023-01-13,331.0,Sell,16.0,160.2
AHPC,2023-02-21,312.0,Buy,,
AHPC,2023-02-22,303.1,Sell,-8.899999999999977,151.3
AHPC,2023-03-09,304.0,Buy,,
AHPC,2023-03-14,300.0,Sell,-4.0,147.3
AHPC,2023-03-20,304.0,Buy,,
AHPC,2023-03-22,296.5,Sell,-7.5,139.8
AHPC,2023-04-11,305.0,Buy,,
AHPC,2023-04-20,300.0,Sell,-5.0,134.8
AHPC,2023-05-18,290.0,Buy,,
AHPC,2023-05-30,283.0,Sell,-7.0,127.80000000000001
AHPC,2023-06-04,287.0,Buy,,
AHPC,2023-06-22,294.8,Sell,7.800000000000011,135.60000000000002
AHPC,2023-09-19,220.0,Buy,,
AHPC,2023-10-03,226.0,Sell,6.0,141.60000000000002
AHPC,2023-11-23,211.0,Buy,,
AHPC,2023-11-28,209.0,Sell,-2.0,139.60000000000002
AHPC,2023-12-07,208.9,Buy,,
AHPC,2023-12-12,223.0,Sell,14.099999999999994,153.70000000000002
AHPC,2024-05-14,165.9,Buy,,
AHPC,2024-05-16,162.0,Sell,-3.9000000000000057,149.8
AHPC,2024-05-20,164.0,Buy,,
