symbol,date,price,action,trade_profit,total_profit
ACLBSL,2024-03-07,612.0,Buy,,
ACLBSL,2024-03-12,680.0,Sell,68.0,68.0
ACLBSL,,,STOCK_PROFIT,,68.0
ADBL,2021-02-03,451.0,Buy,,
ADBL,2021-02-06,450.0,Sell,-1.0,-1.0
ADBL,2021-04-11,437.0,Buy,,
ADBL,2021-04-12,445.0,Sell,8.0,7.0
ADBL,2023-06-18,232.0,Buy,,
ADBL,2023-06-19,230.0,Sell,-2.0,5.0
ADBL,2025-05-07,286.33,Buy,,
ADBL,2025-05-11,284.27,Sell,-2.0600000000000023,2.9399999999999977
ADBL,,,STOCK_PROFIT,,2.9399999999999977
ADBLD83,,,STOCK_PROFIT,,0
AHL,2024-02-04,415.0,Buy,,
AHL,2024-02-07,466.7,Sell,51.69999999999999,51.69999999999999
AHL,2024-03-26,440.0,Buy,,
AHL,2024-03-28,455.0,Sell,15.0,66.69999999999999
AHL,2024-07-15,520.3,Buy,,
AHL,2024-07-16,541.0,Sell,20.700000000000045,87.40000000000003
AHL,2025-02-10,810.0,Buy,,
AHL,2025-02-12,837.0,Sell,27.0,114.40000000000003
AHL,,,STOCK_PROFIT,,114.40000000000003
AHPC,2022-03-20,520.0,Buy,,
AHPC,2022-03-21,510.0,Sell,-10.0,-10.0
AHPC,,,STOCK_PROFIT,,-10.0
AKJCL,2023-03-13,229.0,Buy,,
AKJCL,2023-03-14,227.5,Sell,-1.5,-1.5
AKJCL,2024-01-11,201.6,Buy,,
AKJCL,2024-01-21,235.0,Sell,33.400000000000006,31.900000000000006
AKJCL,2024-11-06,212.0,Buy,,
AKJCL,2024-11-12,212.9,Sell,0.9000000000000057,32.80000000000001
AKJCL,2025-02-24,205.0,Buy,,
AKJCL,2025-02-25,203.3,Sell,-1.6999999999999886,31.100000000000023
AKJCL,2025-05-28,208.23,Buy,,
AKJCL,2025-06-02,207.6,Sell,-0.6299999999999955,30.470000000000027
AKJCL,,,STOCK_PROFIT,,30.470000000000027
AKPL,2021-03-03,324.0,Buy,,
AKPL,2021-03-06,317.0,Sell,-7.0,-7.0
AKPL,2021-05-09,344.0,Buy,,
AKPL,2021-05-12,362.0,Sell,18.0,11.0
AKPL,2022-03-20,524.9,Buy,,
AKPL,2022-03-22,512.0,Sell,-12.899999999999977,-1.8999999999999773
AKPL,2023-03-14,405.1,Buy,,
AKPL,2023-03-21,413.0,Sell,7.899999999999977,6.0
AKPL,2024-01-10,182.4,Buy,,
AKPL,2024-01-16,209.6,Sell,27.19999999999999,33.19999999999999
AKPL,2024-07-07,163.9,Buy,,
AKPL,2024-07-08,162.5,Sell,-1.4000000000000057,31.799999999999983
AKPL,2025-05-28,254.98,Buy,,
AKPL,2025-06-04,273.68,Sell,18.700000000000017,50.5
AKPL,,,STOCK_PROFIT,,50.5
ALBSL,,,STOCK_PROFIT,,0
ALICL,2024-01-14,680.0,Buy,,
ALICL,2024-01-18,688.6,Sell,8.600000000000023,8.600000000000023
ALICL,2024-09-02,752.0,Buy,,
ALICL,2024-09-04,747.0,Sell,-5.0,3.6000000000000227
ALICL,2025-02-27,779.4,Buy,,
ALICL,2025-03-02,818.0,Sell,38.60000000000002,42.200000000000045
ALICL,,,STOCK_PROFIT,,42.200000000000045
ANLB,2024-06-18,2399.0,Buy,,
ANLB,2024-06-19,2575.0,Sell,176.0,176.0
ANLB,2024-07-03,2375.0,Buy,,
ANLB,2024-07-10,2780.0,Sell,405.0,581.0
ANLB,2025-03-27,5143.74,Buy,,
ANLB,2025-03-30,5065.0,Sell,-78.73999999999978,502.2600000000002
ANLB,2025-04-02,5088.75,Buy,,
ANLB,2025-04-03,5025.68,Sell,-63.06999999999971,439.1900000000005
ANLB,2025-05-19,5299.5,Buy,,
ANLB,2025-05-20,5207.66,Sell,-91.84000000000015,347.35000000000036
ANLB,,,STOCK_PROFIT,,347.35000000000036
API,2025-01-19,261.0,Buy,,
API,2025-01-22,276.0,Sell,15.0,15.0
API,2025-02-23,278.9,Buy,,
API,2025-02-27,297.9,Sell,19.0,34.0
API,,,STOCK_PROFIT,,34.0
AVYAN,2023-12-17,612.0,Buy,,
AVYAN,2023-12-24,613.0,Sell,1.0,1.0
AVYAN,2024-01-11,610.0,Buy,,
AVYAN,2024-01-16,658.0,Sell,48.0,49.0
AVYAN,2024-04-14,695.0,Buy,,
AVYAN,2024-04-21,701.0,Sell,6.0,55.0
AVYAN,,,STOCK_PROFIT,,55.0
BARUN,2021-06-29,542.0,Buy,,
BARUN,2021-07-04,517.0,Sell,-25.0,-25.0
BARUN,2021-07-13,532.0,Buy,,
BARUN,2021-07-19,584.0,Sell,52.0,27.0
BARUN,2022-03-20,517.0,Buy,,
BARUN,2022-03-22,508.7,Sell,-8.300000000000011,18.69999999999999
BARUN,2024-07-09,293.0,Buy,,
BARUN,2024-07-16,325.6,Sell,32.60000000000002,51.30000000000001
BARUN,2024-12-08,429.0,Buy,,
BARUN,2024-12-16,411.0,Sell,-18.0,33.30000000000001
BARUN,2025-03-26,506.93,Buy,,
BARUN,2025-04-07,505.45,Sell,-1.4800000000000182,31.819999999999993
BARUN,2025-04-08,509.39,Buy,,
BARUN,2025-04-13,534.96,Sell,25.57000000000005,57.39000000000004
BARUN,,,STOCK_PROFIT,,57.39000000000004
BBC,2021-05-24,7050.0,Buy,,
BBC,2021-05-29,7000.0,Sell,-50.0,-50.0
BBC,2021-06-07,6500.0,Buy,,
BBC,2021-06-12,6500.0,Sell,0.0,-50.0
BBC,2023-03-07,3300.0,Buy,,
BBC,2023-03-11,3241.0,Sell,-59.0,-109.0
BBC,2023-08-22,3930.0,Buy,,
BBC,2023-08-27,3898.0,Sell,-32.0,-141.0
BBC,2023-12-17,3750.0,Buy,,
BBC,2023-12-21,4156.1,Sell,406.10000000000036,265.10000000000036
BBC,2024-01-14,3877.0,Buy,,
BBC,2024-01-18,3830.0,Sell,-47.0,218.10000000000036
BBC,2024-07-08,3950.0,Buy,,
BBC,2024-07-11,4015.0,Sell,65.0,283.10000000000036
BBC,2025-01-22,5832.0,Buy,,
BBC,2025-01-26,5770.0,Sell,-62.0,221.10000000000036
BBC,2025-03-16,5600.0,Buy,,
BBC,2025-03-17,5391.0,Sell,-209.0,12.100000000000364
BBC,,,STOCK_PROFIT,,12.100000000000364
BEDC,2024-02-04,336.5,Buy,,
BEDC,2024-02-11,356.0,Sell,19.5,19.5
BEDC,2024-04-24,371.8,Buy,,
BEDC,2024-04-28,363.0,Sell,-8.800000000000011,10.699999999999989
BEDC,2024-06-23,401.0,Buy,,
BEDC,2024-06-25,441.9,Sell,40.89999999999998,51.599999999999966
BEDC,2025-03-12,810.0,Buy,,
BEDC,2025-03-16,801.0,Sell,-9.0,42.599999999999966
BEDC,,,STOCK_PROFIT,,42.599999999999966
BFC,2021-02-16,162.0,Buy,,
BFC,2021-02-17,178.0,Sell,16.0,16.0
BFC,2021-05-05,181.0,Buy,,
BFC,2021-05-12,206.0,Sell,25.0,41.0
