symbol,date,price,action,trade_profit,total_profit
ACLBSL,2021-09-12,1520.0,Buy,,
ACLBSL,2021-10-30,1636.0,Sell,116.0,116.0
ACLBSL,2022-04-27,932.0,Buy,,
ACLBSL,2024-07-09,1256.0,Sell,324.0,440.0
ACLBSL,2024-09-29,985.0,Buy,,
ACLBSL,2025-02-17,1264.0,Sell,279.0,719.0
ACLBSL,,,STOCK_PROFIT,,719.0
ADBL,2022-03-08,383.9,Buy,,
ADBL,2024-08-15,419.0,Sell,35.10000000000002,35.10000000000002
ADBL,,,STOCK_PROFIT,,35.10000000000002
ADBLD83,,,STOCK_PROFIT,,0
AHL,2023-05-11,335.6,Buy,,
AHL,2023-06-18,376.6,Sell,41.0,41.0
AHL,,,STOCK_PROFIT,,41.0
AHPC,2021-10-12,405.0,Buy,,
AHPC,2021-10-30,536.0,Sell,131.0,131.0
AHPC,2022-12-25,272.8,Buy,,
AHPC,,,STOCK_PROFIT,,131.0
AKJCL,,,STOCK_PROFIT,,0
AKPL,2023-11-08,168.0,Buy,,
AKPL,,,STOCK_PROFIT,,0
ALBSL,2021-12-06,1279.0,Buy,,
ALBSL,2022-01-12,1650.0,Sell,371.0,371.0
ALBSL,2022-03-05,1430.0,Buy,,
ALBSL,,,STOCK_PROFIT,,371.0
ALICL,2024-03-05,549.0,Buy,,
ALICL,,,STOCK_PROFIT,,0
ANLB,2023-08-29,2050.0,Buy,,
ANLB,2024-03-12,2049.0,Sell,-1.0,-1.0
ANLB,2024-04-25,1922.6,Buy,,
ANLB,2024-05-14,2136.9,Sell,214.30000000000018,213.30000000000018
ANLB,,,STOCK_PROFIT,,213.30000000000018
API,2022-12-25,214.0,Buy,,
API,,,STOCK_PROFIT,,0
AVYAN,2023-08-16,680.0,Buy,,
AVYAN,2023-09-19,729.0,Sell,49.0,49.0
AVYAN,,,STOCK_PROFIT,,49.0
BARUN,2023-05-14,230.0,Buy,,
BARUN,2024-07-30,397.1,Sell,167.10000000000002,167.10000000000002
BARUN,,,STOCK_PROFIT,,167.10000000000002
BBC,2021-01-11,2764.0,Buy,,
BBC,2021-01-17,3085.0,Sell,321.0,321.0
BBC,2022-02-05,5030.0,Buy,,
BBC,2024-08-11,5110.0,Sell,80.0,401.0
BBC,,,STOCK_PROFIT,,401.0
BEDC,,,STOCK_PROFIT,,0
BFC,2023-05-14,294.0,Buy,,
BFC,2024-04-28,394.0,Sell,100.0,100.0
BFC,,,STOCK_PROFIT,,100.0
BGWT,2023-10-31,369.0,Buy,,
BGWT,2023-11-22,391.0,Sell,22.0,22.0
BGWT,,,STOCK_PROFIT,,22.0
BHDC,2023-06-01,375.8,Buy,,
BHDC,2023-06-13,415.0,Sell,39.19999999999999,39.19999999999999
BHDC,2023-07-03,366.6,Buy,,
BHDC,2023-12-17,413.6,Sell,47.0,86.19999999999999
BHDC,2025-05-21,464.87,Buy,,
BHDC,,,STOCK_PROFIT,,86.19999999999999
BHL,2023-08-21,215.0,Buy,,
