symbol,open,high,low,close,volume,turnover
ACLBSL,1030.1,1061.3,1030.1,1061.3,712,755645.6
ADBL,286.2,287.0,283.2,284.0,8071,2292164.0
AHL,615.2,620.0,610.0,612.0,906,554472.0
AHPC,300.0,304.0,298.0,299.7,150187,45011043.9
AKJCL,213.0,214.0,209.2,210.0,36603,7686630.0
AKPL,281.0,283.0,274.0,277.9,248221,68980615.89999999
ALBSL,792.0,815.0,792.0,814.0,923,751322.0
ALICL,506.0,506.9,498.0,500.0,1738,869000.0
ANLB,5391.1,5599.0,5391.1,5599.0,115,643885.0
API,306.0,306.0,295.0,300.8,113421,34117036.800000004
AVYAN,995.0,1030.0,995.0,1030.0,2042,2103260.0
BARUN,374.0,381.0,361.0,363.0,85270,30953010.0
BBC,5613.0,5613.0,5506.0,5599.0,49,274351.0
BEDC,690.0,695.0,683.2,686.0,2515,1725290.0
BFC,494.0,494.8,478.0,480.0,4510,2164800.0
BGWT,914.0,915.0,910.0,911.0,740,674140.0
BHDC,463.8,478.0,437.0,476.0,219277,104375852.0
BHL,215.0,215.0,211.5,213.0,36328,7737864.0
BHPL,772.0,787.0,765.0,776.0,3977,3086152.0
BNHC,500.3,518.0,500.2,510.0,991,505410.0
BNT,12518.0,12518.0,12518.0,12518.0,40,500720.0
BPCL,778.0,793.0,772.0,781.0,310392,242416152.0
C30MF,9.18,9.2,9.18,9.2,600,5520.0
CBBL,901.0,905.0,895.0,905.0,15043,13613915.0
CBLD88,1130.0,1130.0,1130.0,1130.0,25,28250.0
CFCL,526.0,527.0,512.0,512.5,2761,1415012.5
CGH,1050.0,1065.0,1027.1,1034.0,78152,80809168.0
CHCL,570.0,578.0,565.0,569.8,157676,89843784.8
CHDC,2590.0,2620.0,2572.0,2577.1,5888,15173964.799999999
CHL,319.8,319.8,303.8,309.0,8541,2639169.0
CIT,1900.0,1910.0,1886.0,1899.9,3392,6444460.800000001
CITY,877.9,878.2,857.0,864.9,4971,4299417.899999999
CKHL,640.0,648.1,625.0,630.0,730,459900.0
CLI,466.3,471.0,466.3,470.0,3396,1596120.0
CMF2,9.42,9.42,9.42,9.42,200,1884.0
CORBL,2527.3,2680.5,2336.0,2400.0,7833,18799200.0
CREST,1500.0,1500.0,1452.6,1452.6,8625,12528675.0
CYCL,1612.0,1687.9,1612.0,1672.1,2137,3573277.6999999997
CZBIL,206.0,210.1,206.0,207.8,22008,4573262.4
DDBL,800.2,816.0,799.0,815.0,5547,4520805.0
DHPL,328.9,328.9,319.0,323.3,7683,2483913.9
DLBS,1369.0,1434.0,1369.0,1434.0,645,924930.0
DOLTI,578.0,589.0,559.2,560.3,1355,759206.4999999999
DORDI,382.0,388.0,380.0,380.2,6612,2513882.4
EBL,643.5,645.0,638.0,639.6,73259,46856456.4
EBLD85,1130.0,1130.0,1130.0,1130.0,25,28250.0
EBLD91,1024.0,1024.0,1024.0,1024.0,50,51200.0
EDBL,571.1,571.1,570.2,570.2,3858,2199831.6
EHPL,574.0,575.0,555.1,555.1,905,502365.5
ENL,1090.0,1094.0,1090.0,1094.0,120,131280.0
FMDBL,737.0,750.0,731.0,742.3,5275,3915632.4999999995
FOWAD,1100.0,1122.0,1100.0,1122.0,2028,2275416.0
GBBL,394.0,395.0,390.3,392.5,5384,2113220.0
GBILD84/85,1169.9,1169.9,1169.9,1169.9,13,15208.7
GBIME,240.0,240.0,235.0,236.0,37661,8887996.0
GBIMEP,120.0,120.0,120.0,120.0,80380,9645600.0
GBLBS,782.0,815.0,782.0,815.0,2765,2253475.0
GCIL,500.0,516.0,500.0,516.0,23810,12285960.0
GFCL,630.0,641.9,630.0,633.0,2456,1554648.0
GHL,252.8,259.0,252.8,256.7,67081,17219692.7
GIBF1,10.43,10.43,10.43,10.43,3600,37548.0
GILB,1228.0,1326.0,1228.0,1288.0,974,1254512.0
GLBSL,2365.0,2405.0,2365.0,2405.0,444,1067820.0
GLH,270.0,270.0,262.1,263.0,30710,8076730.0
GMFBS,1501.0,1530.0,1500.0,1530.0,374,572220.0
GMFIL,483.3,495.0,483.3,492.0,1517,746364.0
GMLI,2224.0,2270.0,2224.0,2226.3,905,2014801.5000000002
GRDBL,1245.0,1285.0,1240.1,1275.0,953,1215075.0
GSY,9.3,9.3,9.14,9.2,11100,102119.99999999999
GUFL,554.2,554.2,541.2,541.4,2635,1426589.0
GVL,463.0,463.0,457.2,457.4,11792,5393660.8
H8020,10.82,11.2,10.82,11.11,3250,36107.5
HATHY,1220.1,1237.0,1220.1,1234.0,5609,6921506.0
HBL,221.0,222.8,218.5,218.7,4074,890983.7999999999
HDHPC,202.4,204.0,201.5,201.6,32076,6466521.6
HDL,1205.0,1205.0,1195.0,1197.0,12039,14410683.0
HEI,571.5,571.7,569.7,569.7,4246,2418946.2
HEIP,360.0,361.0,359.0,361.0,2130,768930.0
HHL,411.1,411.1,408.0,408.0,1324,540192.0
HIDCL,295.0,304.0,295.0,298.0,89702,26731196.0
HIDCLP,215.0,219.3,215.0,216.0,158415,34217640.0
HLBSL,930.1,961.9,922.4,961.0,2470,2373670.0
HLI,390.5,394.5,389.0,390.0,22020,8587800.0
HPPL,561.2,570.0,558.0,564.0,25722,14507208.0
HRL,915.0,915.0,905.3,911.0,27841,25363151.0
HURJA,271.0,274.0,260.1,263.0,143118,37640034.0
ICFC,624.0,624.0,613.0,615.4,1791,1102181.4
ICFCD88,1086.0,1086.0,1085.0,1085.0,100,108500.0
IGI,526.1,528.0,522.1,528.0,7595,4010160.0
IHL,534.5,534.5,520.0,525.0,1350,708750.0
ILBS,845.5,859.9,830.1,855.0,1879,1606545.0
ILI,445.0,446.0,443.0,445.0,5284,2351380.0
JBBL,323.1,327.0,323.1,323.5,9428,3049958.0
JBLB,1279.0,1309.0,1279.0,1286.5,2178,2801997.0
JFL,466.0,484.4,466.0,477.0,2127,1014579.0
JOSHI,410.1,415.0,409.0,413.0,27829,11493377.0
JSLBB,1318.9,1318.9,1295.0,1297.0,365,473405.0
KBL,207.0,208.3,204.0,206.6,78026,16120171.6
KBSH,1955.5,1955.5,1916.0,1920.0,330,633600.0
KDBY,9.5,9.56,9.5,9.56,600,5736.0
KDL,1140.0,1140.0,1105.0,1105.0,1780,1966900.0
KEF,8.89,9.1,8.89,9.01,2250,20272.5
KKHC,350.0,356.7,348.0,351.0,8277,2905227.0
KMCDB,1000.0,1034.8,1000.0,1027.9,2702,2777385.8000000003
KPCL,573.0,573.0,555.0,556.0,6221,3458876.0
KSBBL,453.9,453.9,445.9,450.0,7518,3383100.0
KSY,9.04,9.06,9.04,9.06,400,3624.0
LBBL,432.9,441.9,432.9,440.0,16161,7110840.0
LEC,221.0,225.0,218.0,218.6,77523,16946527.8
LICN,900.0,903.0,894.0,894.8,2424,2168995.1999999997
LLBS,1080.3,1109.0,1059.0,1109.0,5740,6365660.0
LSL,212.1,213.0,209.6,210.0,56983,11966430.0
LUK,10.04,10.15,10.0,10.0,8500,85000.0
LVF2,10.1,10.1,9.92,9.92,200,1984.0
MAKAR,623.2,629.5,615.0,616.2,4420,2723604.0
MANDU,843.0,855.0,843.0,851.2,545,463904.0
MATRI,1176.0,1203.6,1170.0,1183.0,397,469651.0
MBJC,335.0,335.0,323.6,329.0,35561,11699569.0
MBL,213.9,223.0,213.9,217.7,28842,6278903.399999999
MBLEF,9.0,9.0,8.85,8.9,10750,95675.0
MCHL,550.0,550.0,546.0,550.0,741,407550.0
MDB,589.0,589.0,582.0,584.0,2133,1245672.0
MEHL,420.6,430.0,420.5,420.7,1807,760204.9
MEL,305.0,305.9,301.0,304.3,20705,6300531.5
MEN,625.0,629.8,611.0,615.0,32864,20211360.0
MERO,723.4,755.0,723.4,755.0,13348,10077740.0
MFIL,600.0,600.0,580.0,595.0,8981,5343695.0
MHCL,450.0,450.0,436.0,437.0,4316,1886092.0
MHL,600.0,600.0,588.0,591.0,135,79785.0
MHNL,257.5,266.9,252.4,259.9,6983,1814881.7
MKCL,1466.0,1495.0,1466.0,1476.0,615,907740.0
MKHC,417.1,424.0,414.1,417.1,1224,510530.4
MKHL,730.9,760.4,730.9,736.7,4995,3679816.5
MKJC,523.0,523.0,510.5,513.0,6438,3302694.0
MLBBL,1425.0,1469.0,1425.0,1469.0,2247,3300843.0
MLBL,387.0,390.0,385.0,389.0,16796,6533644.0
MLBS,1527.5,1589.0,1527.5,1578.0,345,544410.0
MLBSL,2151.2,2238.0,2151.2,2170.0,207,449190.0
MMF1,8.84,9.1,8.84,8.92,9110,81261.2
MMKJL,554.0,607.0,554.0,565.0,3600,2034000.0
MNBBL,362.3,363.5,359.5,360.0,6137,2209320.0
MNMF1,9.0,9.25,9.0,9.12,4010,36571.2
MPFL,602.1,605.5,598.1,598.1,6106,3651998.6
MSHL,882.0,935.3,882.0,890.1,196,174459.6
MSLB,1170.1,1207.0,1170.1,1200.0,1145,1374000.0
NABBC,1589.5,1589.5,1558.0,1589.0,500,794500.0
NABIL,490.0,492.0,487.1,490.0,14751,7227990.0
NADEP,855.0,877.0,847.0,867.0,1309,1134903.0
NBF2,9.86,10.0,9.86,10.0,5200,52000.0
NBF3,9.6,9.83,9.51,9.83,67700,665491.0
NBL,251.0,255.0,251.0,254.0,18386,4670044.0
NESDO,1589.0,1600.0,1557.3,1600.0,505,808000.0
NFS,644.9,644.9,625.0,633.0,4838,3062454.0
NGPL,419.8,419.8,405.0,409.0,501133,204963397.0
NHDL,701.4,720.0,677.1,685.0,2104,1441240.0
NHPC,223.0,224.0,218.0,219.9,27357,6015804.3
NIBLGF,8.69,8.78,8.69,8.7,900,7829.999999999999
NIBLSTF,8.11,8.2,8.11,8.2,1050,8610.0
NIBSF2,8.22,8.53,8.15,8.53,5100,43503.0
NICA,345.0,351.0,340.0,346.0,28344,9807024.0
NICAD8283,1091.1,1091.1,1091.1,1091.1,1,1091.1
NICFC,9.2,9.2,9.2,9.2,200,1839.9999999999998
NICGF2,8.61,8.66,8.61,8.66,1100,9526.0
NICL,620.0,620.0,610.0,615.0,2932,1803180.0
NICLBSL,612.0,623.0,610.0,623.0,4793,2986039.0
NICSF,8.98,9.15,8.98,9.15,1105,10110.75
NIFRA,289.8,289.8,280.0,281.5,57475,16179212.5
NIL,680.3,688.5,680.1,683.1,5089,3476295.9
NIMB,213.0,213.0,209.6,210.0,19860,4170600.0
NIMBPO,159.5,160.0,159.5,160.0,593,94880.0
NLG,765.0,780.0,765.0,775.0,4277,3314675.0
NLIC,757.0,757.0,748.3,749.0,7913,5926837.0
